Sex,Age group,1997 Mid-year,1997 Year-end,1998 Mid-year,1998 Year-end,1999 Mid-year,1999 Year-end,2000 Mid-year,2000 Year-end,2001 Mid-year,2001 Year-end,2002 Mid-year,2002 Year-end,2003 Mid-year,2003 Year-end,2004 Mid-year,2004 Year-end,2005 Mid-year,2005 Year-end,2006 Mid-year,2006 Year-end,2007 Mid-year,2007 Year-end,2008 Mid-year,2008 Year-end,2009 Mid-year,2009 Year-end,2010 Mid-year,2010 Year-end,2011 Mid-year,2011 Year-end,2012 Mid-year,2012 Year-end,2013 Mid-year,2013 Year-end,2014 Mid-year,2014 Year-end,2015 Mid-year,2015 Year-end,2016 Mid-year,2016 Year-end,2017 Mid-year,2017 Year-end,2018 Mid-year,2018 Year-end,2019 Mid-year,2019 Year-end,2020 Mid-year,2020 Year-end,2021 Mid-year,2021 Year-end,2022 Mid-year
Both sexes,45 - 49,468600.0,478400.0,485700.0,493600.0,501600.0,508700.0,514600.0,525700.0,539700.0,557200.0,570300.0,584300.0,599700.0,617000.0,626400.0,636700.0,648200.0,659900.0,659400.0,655700.0,657800.0,663900.0,668300.0,668000.0,670600.0,671500.0,665600.0,655500.0,651700.0,647000.0,637400.0,622200.0,607800.0,597400.0,587100.0,575400.0,569900.0,569000.0,567000.0,570200.0,575200.0,580800.0,584100.0,587400.0,592900.0,596000.0,591100.0,582300.0,583000.0,576000.0,564200.0
Both sexes,50 - 54,293300.0,312300.0,326300.0,345400.0,358000.0,381400.0,401200.0,422800.0,437000.0,447600.0,457300.0,466100.0,472100.0,482000.0,491000.0,500300.0,509900.0,519500.0,531600.0,547100.0,557200.0,570700.0,585300.0,600700.0,606200.0,614000.0,625400.0,636600.0,637700.0,636100.0,641400.0,648600.0,654200.0,655400.0,658500.0,659600.0,655100.0,645800.0,643100.0,638100.0,625500.0,611400.0,600700.0,595300.0,589800.0,578300.0,575900.0,575100.0,575200.0,573500.0,572600.0
Both sexes,55 - 59,250500.0,245500.0,240400.0,239900.0,241100.0,242800.0,241800.0,245700.0,252600.0,268300.0,282600.0,298900.0,313100.0,330800.0,345900.0,368900.0,388100.0,409600.0,422500.0,432600.0,441600.0,451100.0,457900.0,467600.0,475900.0,482900.0,491100.0,500300.0,513100.0,528900.0,540600.0,554700.0,569100.0,585300.0,590800.0,598900.0,610300.0,621500.0,623000.0,623400.0,631300.0,640400.0,646500.0,648700.0,652300.0,654500.0,645000.0,633100.0,630900.0,619900.0,601600.0
Both sexes,60 - 64,269200.0,271100.0,264100.0,263700.0,259400.0,260200.0,257400.0,257300.0,251000.0,245600.0,241400.0,235300.0,231800.0,228700.0,230800.0,234000.0,235100.0,237600.0,243900.0,258700.0,272500.0,289400.0,303600.0,320600.0,335400.0,356900.0,375000.0,396200.0,409600.0,419400.0,428500.0,437000.0,442600.0,452000.0,460100.0,466200.0,473900.0,482700.0,495300.0,513300.0,526100.0,542600.0,560600.0,578600.0,585500.0,595900.0,605100.0,612900.0,613900.0,615500.0,622500.0
Both sexes,65 - 69,243400.0,244900.0,248900.0,252500.0,252400.0,253800.0,251600.0,251100.0,250100.0,251300.0,251600.0,252700.0,249400.0,249400.0,248200.0,247300.0,246200.0,246800.0,241800.0,238200.0,234800.0,229600.0,225800.0,222200.0,223600.0,226200.0,226700.0,228600.0,234300.0,250200.0,264400.0,281100.0,295100.0,312000.0,326300.0,346900.0,363100.0,383200.0,395700.0,405100.0,414300.0,424400.0,431800.0,443300.0,450900.0,459000.0,465900.0,475600.0,492200.0,508300.0,517800.0
Both sexes,70 - 74,184500.0,187100.0,190600.0,193700.0,195100.0,197700.0,202400.0,208200.0,210200.0,213100.0,214700.0,216600.0,219900.0,225900.0,227900.0,231000.0,228300.0,226000.0,228300.0,232600.0,235100.0,238100.0,235700.0,235200.0,233700.0,233800.0,233600.0,234500.0,230400.0,225400.0,221100.0,216200.0,213100.0,209900.0,211500.0,213600.0,213700.0,215500.0,220800.0,236000.0,249300.0,265200.0,278400.0,295900.0,310400.0,329200.0,342500.0,359400.0,370800.0,381400.0,390600.0
Both sexes,75 - 79,125900.0,128200.0,130200.0,133200.0,136500.0,137300.0,139300.0,141000.0,144100.0,147200.0,151500.0,154800.0,157100.0,161400.0,163100.0,165300.0,169800.0,176400.0,178600.0,182900.0,185500.0,189100.0,193100.0,199100.0,201300.0,204500.0,203500.0,203200.0,205200.0,207800.0,208900.0,211900.0,210200.0,210400.0,209300.0,209900.0,209500.0,210400.0,206400.0,201200.0,197000.0,192700.0,190500.0,187600.0,188300.0,187900.0,184800.0,188200.0,197100.0,209500.0,219400.0
Both sexes,80 - 84,70800.0,70700.0,72700.0,73400.0,75500.0,77800.0,80900.0,83600.0,86300.0,89900.0,91600.0,94900.0,97100.0,100700.0,103000.0,106000.0,107700.0,110200.0,112700.0,116000.0,119500.0,122600.0,124600.0,128300.0,129800.0,132500.0,137200.0,143800.0,146100.0,149700.0,151000.0,153800.0,157600.0,163400.0,164700.0,167700.0,166200.0,165600.0,167000.0,169900.0,170800.0,173900.0,172400.0,173100.0,171900.0,171500.0,170100.0,169800.0,165200.0,162200.0,159300.0
Both sexes,>= 85,47000.0,47300.0,48200.0,48700.0,50500.0,51700.0,55000.0,58500.0,62600.0,65500.0,67700.0,70600.0,71900.0,75100.0,76800.0,80900.0,82700.0,87300.0,90700.0,95500.0,97300.0,101800.0,103500.0,107600.0,110200.0,114900.0,117500.0,122700.0,125400.0,131600.0,134500.0,140800.0,143900.0,150600.0,152000.0,157600.0,162100.0,171600.0,173300.0,180600.0,183700.0,190500.0,195200.0,205400.0,206000.0,211900.0,218100.0,224300.0,226200.0,233700.0,233000.0
Both sexes,All age groups,6489300.0,6516700.0,6543700.0,6583400.0,6606500.0,6637600.0,6665000.0,6711500.0,6714300.0,6730300.0,6744100.0,6725800.0,6730800.0,6764200.0,6783500.0,6797700.0,6813200.0,6837800.0,6857100.0,6904300.0,6916300.0,6938400.0,6957800.0,6963900.0,6972800.0,6996400.0,7024200.0,7052100.0,7071600.0,7109500.0,7150100.0,7171000.0,7178900.0,7210900.0,7229500.0,7252900.0,7291300.0,7309700.0,7336600.0,7378100.0,7393200.0,7414800.0,7452600.0,7487700.0,7507900.0,7520500.0,7481000.0,7426700.0,7413100.0,7401500.0,7291600.0
